07:16:13:964 [ALWAYS]	GUDE Logging Started
07:16:13:965 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:16:13:965 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:16:13:965 [ERROR]	Initialize resume cache pointer failure
07:16:13:965 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
07:16:13:965 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
07:16:16:047 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
07:16:16:047 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
07:16:16:047 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
07:16:16:047 [ERROR]	Initialize resume cache pointer failure
07:16:16:047 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
07:16:16:047 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
